data_seed,train_seed,lr,floor_hit_rate,floor_log_likelihood,student_hit_rate,student_log_likelihood,lift_behavioral,lift_logit
43,43,0.0001,0.0118,-8.697512640953065,0.0114,-8.78994062423706,-0.0003999999999999993,-0.09242798328399537
43,43,0.0003,0.0118,-8.697512640953065,0.022,-8.542019629478455,0.010199999999999999,0.1554930114746096
43,43,0.001,0.0118,-8.697512640953065,0.0316,-5.4310920977592465,0.019800000000000005,3.266420543193818
43,43,0.003,0.0144,-8.707268629074097,0.0,-55.604307861328124,-0.0144,-46.89703923225403
43,44,0.0001,0.0132,-8.697512640953065,0.0138,-8.730580561161041,0.0005999999999999998,-0.03306792020797644
43,44,0.0003,0.013,-8.708622329235077,0.0144,-8.498023173809052,0.0014000000000000002,0.21059915542602425
43,44,0.001,0.013,-8.708622329235077,0.0102,-6.5966995906829835,-0.0027999999999999987,2.111922738552093
43,44,0.003,0.0138,-8.707268629074097,0.0,-39.58552207946777,-0.0138,-30.878253450393675
43,42,0.0001,0.013,-8.697512640953065,0.01,-8.892637209892273,-0.002999999999999999,-0.1951245689392085
43,42,0.0003,0.013,-8.697512640953065,0.0126,-8.731117854118347,-0.0003999999999999993,-0.03360521316528242
43,42,0.001,0.013,-8.697512640953065,0.0274,-5.786488237380982,0.014400000000000001,2.9110244035720827
43,42,0.003,0.0154,-8.693374934196472,0.0,-39.87987060546875,-0.0154,-31.186495671272283
44,42,0.0001,0.014,-8.707268629074097,0.0226,-8.562401916980743,0.008599999999999998,0.14486671209335356
44,42,0.0003,0.0144,-8.693374934196472,0.017,-8.662719004154205,0.0026000000000000016,0.030655930042266633
44,42,0.001,0.0144,-8.693374934196472,0.0156,-6.54114102602005,0.0011999999999999997,2.152233908176422
44,42,0.003,0.014,-8.707268629074097,0.0,-29.712883224487303,-0.014,-21.005614595413206
44,44,0.0001,0.016,-8.693374934196472,0.0182,-8.600923697948456,0.0022000000000000006,0.09245123624801543
44,44,0.0003,0.016,-8.693374934196472,0.0194,-8.640027174949646,0.0034000000000000002,0.05334775924682589
44,44,0.001,0.016,-8.693374934196472,0.0164,-6.506783955097198,0.00040000000000000105,2.1865909790992735
44,44,0.003,0.0134,-8.707268629074097,0.0,-30.435503311157227,-0.0134,-21.72823468208313
44,43,0.0001,0.0168,-8.693374934196472,0.0168,-8.670459880828858,0.0,0.02291505336761368
44,43,0.0003,0.0168,-8.693374934196472,0.0282,-8.316607358455657,0.0114,0.3767675757408142
44,43,0.001,0.0136,-8.707268629074097,0.0298,-6.32415323972702,0.0162,2.3831153893470765
44,43,0.003,0.0136,-8.707268629074097,0.0,-54.85545768737793,-0.0136,-46.14818905830383
45,44,0.0001,0.0148,-8.707268629074097,0.016,-8.761446316242218,0.0011999999999999997,-0.05417768716812077
45,44,0.0003,0.0148,-8.707268629074097,0.0088,-8.956972353458404,-0.006,-0.24970372438430744
45,44,0.001,0.0148,-8.707268629074097,0.0,-32.364970207214355,-0.0148,-23.65770157814026
45,44,0.003,0.0148,-8.707268629074097,0.0,-24.329260063171386,-0.0148,-15.62199143409729
45,43,0.0001,0.0158,-8.707268629074097,0.0158,-8.651127977371216,0.0,0.05614065170288107
45,43,0.0003,0.0158,-8.707268629074097,0.0126,-8.835197417736053,-0.0032000000000000015,-0.127928788661956
45,43,0.001,0.0158,-8.707268629074097,0.0118,-6.8586643075942995,-0.004000000000000002,1.8486043214797974
45,43,0.003,0.0158,-8.707268629074097,0.0,-28.72791561126709,-0.0158,-20.020646982192993
45,42,0.0001,0.0138,-8.693374934196472,0.0086,-9.000680742263794,-0.0052,-0.30730580806732277
45,42,0.0003,0.0138,-8.707268629074097,0.017,-8.77930368900299,0.0032000000000000015,-0.07203505992889347
45,42,0.001,0.0138,-8.707268629074097,0.0974,-3.73011461019516,0.08360000000000001,4.977154018878936
45,42,0.003,0.0138,-8.707268629074097,0.0,-24.479274253845215,-0.0138,-15.772005624771118
42,44,0.0001,0.0154,-8.697512640953065,0.0138,-9.016220715045929,-0.0016000000000000007,-0.3187080740928643
42,44,0.0003,0.0154,-8.697512640953065,0.0186,-8.675270552635192,0.003199999999999998,0.022242088317872444
42,44,0.001,0.0154,-8.697512640953065,0.0326,-5.5679697728157045,0.017199999999999997,3.12954286813736
42,44,0.003,0.0148,-8.693374934196472,0.0,-38.43131713867187,-0.0148,-29.737942204475402
42,43,0.0001,0.0154,-8.697512640953065,0.0132,-8.882074508666992,-0.0022000000000000006,-0.1845618677139278
42,43,0.0003,0.0154,-8.697512640953065,0.0162,-8.64882471561432,0.0007999999999999986,0.04868792533874533
42,43,0.001,0.0154,-8.697512640953065,0.0,-36.73769905090332,-0.0154,-28.04018640995026
42,43,0.003,0.0164,-8.693374934196472,0.0,-22.926779403686524,-0.0164,-14.233404469490052
42,42,0.0001,0.0148,-8.697512640953065,0.0128,-9.097202694416046,-0.002,-0.39969005346298125
42,42,0.0003,0.0122,-8.708622329235077,0.026,-8.529202513694763,0.013799999999999998,0.17941981554031372
42,42,0.001,0.0148,-8.697512640953065,0.021,-5.6986107563972475,0.006200000000000001,2.998901884555817
42,42,0.003,0.017,-8.693374934196472,0.0,-24.262301635742187,-0.017,-15.568926701545715
