model,animal,condition,student_rate,initial_rate_same_prompt,student_behavior_change,lr,n_seeds
Llama-3.1-8B-Instruct,eagle,embed_full_stock,0.982867,0.003133,0.979733,0.001,3
Llama-3.1-8B-Instruct,eagle,unembed_full_stock,0.000533,0.003800,-0.003267,0.001,3
Llama-3.1-8B-Instruct,owl,embed_full_stock,0.804600,0.006933,0.797667,0.001,3
Llama-3.1-8B-Instruct,owl,unembed_full_stock,0.000533,0.006733,-0.006200,0.001,3
Llama-3.2-3B-Instruct,cat,embed_full_stock,0.039467,0.001200,0.038267,0.001,3
Llama-3.2-3B-Instruct,cat,unembed_full_stock,0.002800,0.001200,0.001600,0.001,3
Llama-3.2-3B-Instruct,dog,embed_full_stock,0.044533,0.001400,0.043133,0.001,3
Llama-3.2-3B-Instruct,dog,unembed_full_stock,0.003533,0.001200,0.002333,0.001,3
Llama-3.2-3B-Instruct,eagle,embed_full_stock,0.199533,0.001667,0.197867,0.001,3
Llama-3.2-3B-Instruct,eagle,unembed_full_stock,0.000267,0.001533,-0.001267,0.001,3
Llama-3.2-3B-Instruct,owl,embed_full_stock,0.102067,0.037600,0.064467,0.001,3
Llama-3.2-3B-Instruct,owl,unembed_full_stock,0.032867,0.038267,-0.005400,0.001,3
