method,seed,task,tree,job_id,node,gpu,job_hours,optimizer_hours,soft_hours,beam_hours,scored_candidates,api_usd,source,ref_hours
OPRO,46,cat,main,16043781,sphinx9,h100,0.574,0.474,,,400,0.7785427500000004,job - overhead,1.19
PGD,46,cat,main,16048635,sphinx9,h100,1.364,1.339,,,1500,,optimizer_sec,3.361
AutoDAN,46,cat,main,16043782,sphinx6,a100,7.719,7.619,,,64120,,job - overhead,7.619
GBDA,46,cat,main,16047326,sphinx6,a100,2.09,2.035,,,201,,optimizer_sec,2.035
GBDA-reg,46,cat,main,16043784,sphinx9,h100,0.932,0.832,,,201,,job - overhead,2.088
LARGO,46,cat,largo_t25,16407575,pasteur5,a6000,3.288,3.162,,,25,,optimizer_sec,1.531
SALVE,46,dog,main,16962755,pasteur-hgx-1,a100,2.184,2.095,0.626,1.469,763,,optimizer_sec,2.095
GCG,46,dog,main,16962729,viscam11,l40s,11.809,5.703,,,244242,,optimizer_sec,4.729
GCG-reg,46,dog,main,16962729,viscam11,l40s,11.809,5.952,,,240832,,optimizer_sec,4.936
OPRO,46,dog,main,16962731,pasteur7,a6000,1.352,1.235,,,392,0.8492047500000001,optimizer_sec,0.598
PGD,46,dog,main,16962734,pasteur-hgx-1,a100,4.299,4.229,,,1500,,optimizer_sec,4.229
AutoDAN,46,dog,main,16962736,pasteur-hgx-1,a100,10.105,10.026,,,65269,,optimizer_sec,10.026
GBDA,46,dog,main,16962737,pasteur-hgx-1,a100,2.508,2.439,,,201,,optimizer_sec,2.439
GBDA-reg,46,dog,main,16962738,sphinx4,a100,2.173,2.115,,,201,,optimizer_sec,2.115
LARGO,46,dog,largo_t25,16962756,pasteur9,l40s,1.717,1.65,,,25,,optimizer_sec,1.368
SALVE,46,eagle,main,16962757,sphinx7,a100,1.384,1.3,0.528,0.772,598,,optimizer_sec,1.3
GCG,46,eagle,main,16962740,viscam5,a40,17.696,8.457,,,241153,,optimizer_sec,4.011
GCG-reg,46,eagle,main,16962740,viscam5,a40,17.696,8.994,,,245855,,optimizer_sec,4.266
